episode, title
001, 宴桃园豪杰三结义 斩黄巾英雄首立功
002, 张翼德怒鞭督邮 何国舅谋诛宦竖
003, 翼德怒鞭督邮 何国舅谋诛宦竖
004, 废汉帝陈留践位 谋董贼孟德献刀
005, 发矫诏诸镇应曹公 破关兵三英战吕布
006, 焚金阙董卓行凶 匿玉玺孙坚背约
007, 袁绍磐河战公孙 孙坚跨江击刘表
008, 王司徒巧使连环计 董太师大闹凤仪亭
009, 除暴凶吕布助司徒 犯长安李傕听贾诩
010, 勤王室马腾举义 报父仇曹操兴师
011, 刘皇叔北海救孔融 吕温侯濮阳破曹操
012, 陶恭祖三让徐州 曹孟穗大战吕布
013, 李傕郭汜大交兵 杨奉董承双救驾
014, 曹孟德移驾幸许都 吕奉先乘夜袭徐郡
015, 太史慈酣斗小霸王 孙伯符大战严白虎
016, 吕奉先射戟辕门 曹孟德败师淯水
017, 袁公路大起七军 曹孟德会合三将
018, 贾文和料敌决胜 夏侯惇拨矢啖睛
019, 下邳城曹操鏖兵 白门楼吕布殒命
020, 曹阿瞒许田打围 董国舅内阁受诏
021, 曹操煮酒论英雄 关公赚城斩车胄
022, 袁曹各起马步三军 关张共擒王刘二将
023, 祢正平裸衣骂贼 吉太医下毒遭刑
024, 国贼行凶杀贵妃 皇叔败走投袁绍
025, 屯土山关公约三事 救白马曹操解重围
026, 袁本初败兵折将 关云长挂印封金
027, 美髯公千里走单骑 汉寿侯五关斩六将
028, 斩蔡阳兄弟释疑 会古城主臣聚义
029, 小霸王怒斩于吉 碧眼儿坐领江东
030, 战官渡本初败绩 劫乌巢孟德烧粮
031, 曹操仓亭破本初 玄德荆州依刘表
032, 夺冀州袁尚争锋 决漳河许攸献计
033, 曹丕乘乱纳甄氏 郭嘉遗计定辽东
034, 蔡夫人隔屏听密语 刘皇叔跃马过檀溪
035, 玄德南漳逢隐沧 单福新野遇英主
036, 玄德用计袭樊城 元直走马荐诸葛
037, 司马徽再荐名士 刘玄德三顾草庐
038, 定三分隆中决策 战长江孙氏报仇
039, 荆州城公子三求计 博望坡军师初用兵
040, 蔡夫人议献荆州 诸葛亮火烧新野
041, 刘玄德携民渡江 赵子龙单骑救主
042, 张翼德大闹长坂桥 刘豫州败走汉津口
043, 诸葛亮舌战群儒 鲁子敬力排众议
044, 孔明用智激周瑜 孙权决计破曹操
045, 三江口曹操折兵 群英会蒋干中计
046, 用奇谋孔明借箭 献密计黄盖受刑
047, 阚泽密献诈降书 庞统巧授连环计
048, 宴长江曹操赋诗 锁战船北军用武
049, 七星坛诸葛祭风 三江口周瑜纵火
050, 诸葛亮智算华容 关云长义释曹操
051, 曹仁大战东吴兵 孔明一气周公瑾
052, 诸葛亮智辞鲁肃 赵子龙计取桂阳
053, 关云长义释黄汉升 孙仲谋大战张文远
054, 吴国太佛寺看新郎 刘皇叔洞房续佳偶
055, 玄德智激孙夫人 孔明二气周公瑾
056, 曹操大宴铜雀台 孔明三气周公瑾
057, 柴桑口卧龙吊丧 耒阳县凤雏理事
058, 马孟起兴兵雪恨 曹阿瞒割须弃袍
059, 许诸裸衣斗马超 曹操抹书问韩遂
060, 张永年反难杨修 庞士元议取西蜀
061, 赵云截江夺阿斗 孙权遗书退老瞒
062, 取涪关杨高授首 攻雒城黄魏争功
063, 诸葛亮痛哭庞统 张翼德义释严颜
064, 孔明定计捉张任 杨阜借兵破马超
065, 马超大战葭萌关 刘备自领益州牧
066, 关云长单刀赴会 伏皇后为国捐生
067, 曹操平定汉中地 张辽威震逍遥津
068, 甘宁百骑劫魏营 左慈掷杯戏曹操
069, 卜周易管辂知机 讨汉贼五臣死节
070, 猛张飞智取瓦口隘 老黄忠计夺天荡山
071, 占对山黄忠逸待劳 据汉水赵云寡胜众
072, 诸葛亮智取汉中 曹阿瞒兵退斜谷
073, 玄德进位汉中王 云长攻拔襄阳郡
074, 庞令明抬榇决死战 关云长放水淹七军
075, 关云长刮骨疗毒 吕子明白衣渡江
076, 徐公明大战沔水 关云长败走麦城
077, 玉泉山关公显圣 洛阳城曹操感神
078, 治风疾神医身死 传遗命奸雄数终
079, 兄逼弟曹植赋诗 侄陷叔刘封伏法
080, 曹丕废帝篡炎刘 汉王正位续大统
082, 孙权降魏受九锡 先主征吴赏六军
083, 战猇亭先主得仇人 守江口书生拜大将
084, 陆逊营烧七百里 孔明巧布八阵图
085, 刘先主遗诏托孤儿 诸葛亮安居平五路
086, 难张温秦宓逞天辩 破曹丕徐盛用火攻
087, 征南寇丞相大兴师 抗天兵蛮王初受执
088, 渡泸水再缚番王 识诈降三擒孟获
089, 武乡侯四番用计 南蛮王五次遭擒
090, 驱巨善六破蛮兵 烧藤甲七擒孟获
091, 祭泸水汉相班师 伐中原武侯上表
092, 赵子龙力斩五将 诸葛亮智取三城
093, 姜伯约归降孔明 武乡侯骂死王朝
094, 诸葛亮乘雪破羌兵 司马懿克日擒孟达
095, 马谡拒谏失街亭 武侯弹琴退仲达
096, 孔明挥泪斩马谡 周鲂断发赚曹休
097, 讨魏国武侯再上表 破曹兵姜维诈献书
098, 追汉军王双受诛 袭陈仓武侯取胜
099, 诸葛亮大破魏兵 司马懿入寇西蜀
100, 汉兵劫寨破曹真 武侯斗阵辱仲达
